Archivo,Proveedor,Fecha,NºFactura,Reconciliacion,Excel
2109 2T24 0427 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2109_2T24_0427_JIMELUZ_EF.xlsx
2110 2T24 0427 JIMELUZ 3 EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2110_2T24_0427_JIMELUZ_3_EF.xlsx
2111- 2T24 0429 ANGEL RODRIGUEZ ROMERO EF OJO RETENCION.pdf,RETENCION,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2111-_2T24_0429_ANGEL_RODRIGUEZ_ROMERO_EF_OJO_RETENCION.xlsx
2112 2T24 0430 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2112_2T24_0430_JIMELUZ_EF.xlsx
2113 2T24 0430 MIGUEZ CAL SL TR.pdf,MIGUEZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2113_2T24_0430_MIGUEZ_CAL_SL_TR.xlsx
2114 2T24 0430 VINOS DE ARGANZA SL TR.pdf,ARGANZA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2114_2T24_0430_VINOS_DE_ARGANZA_SL_TR.xlsx
2115 2T24 0502 DISBER SL TR.pdf,DISBER,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2115_2T24_0502_DISBER_SL_TR.xlsx
2116 2T24 0502 JIMELUZ EF 2.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2116_2T24_0502_JIMELUZ_EF_2.xlsx
2117 2T24 0502 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2117_2T24_0502_JIMELUZ_EF.xlsx
2118 2T24 0503 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2118_2T24_0503_BM_TJ.xlsx
2119 2T24 0503 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2119_2T24_0503_JIMELUZ_TJ.xlsx
